COD,HA
1,15.97
2,64.47
3,1.72
4,8.120000000000001
5,26.38
6,1.95
7,6.15
8,7.48
9,21.23
10,19.89
11,245.04
12,154.79
13,37.13
14,6.44
15,32.92
16,4.609999999999999
17,8.73
18,2.54
19,1.8399999999999999
20,3.66
21,242.34
22,5.87
23,6.62
24,24.22
25,25.5
26,22.17
27,48.67
28,25.49
29,6.7
30,11.28
31,9.12
32,14.42
33,5.92
34,5.21
35,36.63
36,3.61
37,4.65
38,6.57
39,8.74
40,602.77
41,40.27
42,8.2
43,4.23
44,8.440000000000001
45,6.58
46,22.24
47,12.72
48,9.98
49,9.62
50,12.84
51,11.78
52,30.07
53,6.15
54,4.42
55,310.76
56,5.77
57,38.93
58,87.97
59,16.4
60,2891.6
61,5.13
62,4.24
63,5.14
64,9.72
65,7.29
66,9.29
67,13.16
68,104.2
69,9.41
70,25.95
71,4.35
72,19.17
73,245.09
74,4.75
75,10.45
76,8.46
77,29.08
78,29.96
79,8.2
80,6.32
81,14.4
82,18.74
83,7.3
84,3.96
85,8.65
86,8.45
87,12.42
88,12.7
89,4.32
90,17.46
91,1.02
92,13.33
93,2.9699999999999998
94,8.17
95,60.78
96,2.17
97,3.16
98,4.779999999999999
99,1.44
100,11.35
101,1.99
102,13.97
103,3.87
104,6.12
105,6.84
106,133.41
107,10.52
108,2.34
109,4.59
110,4.68
111,2.5300000000000002
112,9.92
113,46.54
114,6.57
115,9.81
116,2.26
117,5.61
118,1580.63
119,100.05
120,3.8
121,13.39
122,4.42
123,3.15
124,70.96
125,15.01
126,2.3
127,28.08
128,2.98
129,1.99
130,18.09
131,2.71
132,1.29
133,3.33
134,3.7
135,1.72
136,169.59
137,14.31
138,301.15
139,6.04
140,17.65
141,74.51
142,3.33
143,13.39
144,16.990000000000002
145,2.62
146,35.84
147,2.09
148,3.79
149,1.54
150,9.9
151,12.05
152,8.55
153,59.3
154,12.25
155,10.53
156,5.67
157,3.97
158,16.83
159,16.03
160,61.24
161,3.62
162,4.42
163,7.84
164,19.09
165,52.65
166,4.42
167,10.35
168,16.65
169,9.1
170,2.8899999999999997
171,40.76
172,4.33
173,1.21
174,5.14
175,4.96
176,3.51
177,9.91
178,3.15
179,49.89
180,151.91
181,288.43
182,3.87
183,6.31
184,4.59
185,5.68
186,8.27
187,4.96
188,14.76
189,24.81
190,12.79
191,6.93
192,7.83
193,13.13
194,1.54
195,2.8
196,8.71
197,6.85
198,14.31
199,13.86
200,1.9
201,10.36
202,7.83
203,6060.56
204,19.63
205,129.26
206,216.4
207,2.8899999999999997
208,4.68
209,11.9
210,5.94
211,13.33
212,4.51
213,16.64
214,91.35
215,2.98
216,29.47
217,71.93
218,6.55
219,44.77
220,188.54
221,16.619999999999997
222,378.11
223,5.5
224,101.73
225,9.9
226,1.99
227,5.67
228,4.33
229,67.27
230,140.11
231,1.99
232,18.88
233,5.04
234,2.35
235,4.140000000000001
236,14.65
237,8.99
238,3.78
239,2.79
240,14.12
241,33.87
242,2.98
243,5.5
244,4.41
245,17.26
246,56.72
247,25.89
248,4.77
249,39.23
250,5.4
251,14.94
252,15.03
253,8.559999999999999
254,13.15
255,8.29
256,31.87
257,2.99
258,4.33
259,1.81
260,5.58
261,5.05
262,4.24
263,30.33
264,28.37
265,15.22
266,84.74
267,2.45
268,6.03
269,15.12
270,5.51
271,39.74
272,77.11
273,33.74
274,10.28
275,24.01
276,20.99
277,6.85
278,2.26
279,14.13
280,22.4
281,10.54
282,10.0
283,11.53
284,32.03
285,36.94
286,19.9
287,21.52
288,5.76
289,3.25
290,12.44
291,74.91
292,6.04
293,8.27
294,7.47
295,4.779999999999999
296,15.0
297,4.42
298,18.44
299,6.66
300,91.64
301,6.58
302,4.779999999999999
303,9.63
304,500.86
305,14.13
306,14.04
307,8.77
308,4.5
309,25.62
310,23.01
311,2.9699999999999998
312,104.44
313,6.04
314,38.23
315,3.47
316,41.35
317,7.2
318,13.31
319,19.53
320,1.24
321,17.47
322,63.85
323,8.11
324,21.68
325,69.64
326,199.72
327,34.97
328,5.85
329,4.59
330,3.24
331,10.7
332,20.41
333,127.82
334,11.79
335,33.07
336,6.67
337,17.45
338,4.779999999999999
339,44.61
340,15.02
341,41.66
342,2.71
343,1.9
344,76219.49
345,6.13
346,42.78
347,1.38
348,4.74
349,9.94
350,4.859999999999999
351,8.370000000000001
352,12.76
353,40.76
354,5.41
355,1.6400000000000001
356,7.29
357,1.42
358,8.64
359,15.19
360,3.25
361,5.4
362,276.87
363,2.44
364,12.21
365,1.62
366,5.4
367,19.08
368,2.88
369,11.58
370,3.7
371,39.07
372,13.25
373,10.26
374,27.71
375,4.15
376,9.0
377,4.93
378,91.77
379,16.02
380,6.39
381,8.01
382,3.16
383,48.63
384,34.6
385,10.1
386,49.9
387,19.24
388,2.45
389,9.56
390,5.04
391,5.76
392,37.2
393,30.8
394,59.12
395,24.31
396,8.29
397,4.24
398,32.39
399,4.04
400,3.16
401,4.41
402,111.34
403,4.23
404,7.21
405,13.77
406,1.02
407,3.89
408,3.34
409,82.54
410,161.07
411,23.38
412,120.15
413,17.35
414,6.14
415,42.51
416,10.27
417,5.07
418,6.03
419,511.48
420,4.09
421,13.6
422,10.89
423,7.92
424,24.27
425,7.02
426,18.59
427,13.31
428,1.72
429,5.14
430,12.95
431,12.34
432,2.17
433,1023.63
434,86.44
435,142.98
436,38.69
437,15.23
438,79.56
439,26.26
440,9.83
441,21.87
442,30.62
443,17.73
444,22.92
445,2.4299999999999997
446,14.58
447,33.71
448,10.82
449,4.779999999999999
450,4.8100000000000005
451,22.28
452,36.95
453,29.73
454,10.81
455,30.59
456,8.29
457,90.89
458,27.45
459,8.370000000000001
460,12.97
461,6.57
462,28.95
463,31.22
464,16.68
465,3.79
466,6.22
467,20.58
468,71.52
469,1.54
470,22.85
471,36.61
472,18.45
473,3.78
474,4.35
475,22.92
476,47.45
477,14.95
478,81.27
479,17.99
480,4.859999999999999
481,33.19
482,27.89
483,1.5
484,4.779999999999999
485,7.92
486,3.89
487,27.84
488,9.81
489,8.1
490,8.559999999999999
491,24.8
492,17.05
493,19.42
494,4.5
495,79.51
496,17.28
497,3.96
498,26.7
499,6.5
500,5.84
501,7.48
502,8.280000000000001
503,3.24
504,6.84
505,6.96
506,3.6
507,38.56
508,233.88
509,57.84
510,9.9
511,28.31
512,9.05
513,4.24
514,22.67
515,7.83
516,6.39
517,17.89
518,17.37
519,120.27
520,199.62
521,6.19
522,7.3
523,53.49
524,4.96
525,13.33
526,65.28
527,57.85
528,4.41
529,29.86
530,18.1
531,7.83
532,7.56
533,9.39
534,2.8
535,5.4
536,7.66
537,32.11
538,481.72
539,4.45
540,1.8900000000000001
541,6.3
542,11.86
543,8.379999999999999
544,7.92
545,11.86
546,151.86
547,3.85
548,37.67
549,1.06
550,2.98
551,1.02
552,1.6400000000000001
553,20.54
554,18.49
555,5.78
556,1.27
557,15.62
558,2.4299999999999997
559,3.15
560,4.109999999999999
561,4.83
562,11.44
563,5.24
564,7.55
565,56.14
566,2285.03
567,5.37
568,34.54
569,55.84
570,1.8
571,5.45
572,12.32
573,8.65
574,1.21
575,4.76
576,9.74
577,5.74
578,23.0
579,5.64
580,7.39
581,9.61
582,2.48
