COD,HA
1,60.24
2,8.84
3,308.51
4,154.79
5,21.23
6,39.79
7,4.609999999999999
8,5.87
9,6.62
10,45.39
11,54.37
12,25.5
13,280.84
14,22.54
15,5.92
16,5.21
17,4.65
18,654.81
19,6.58
20,33.96
21,9.98
22,310.76
23,6.15
24,4.42
25,20.54
26,5.13
27,7.29
28,17.7
29,245.09
30,13.16
31,4.35
32,4.75
33,25.83
34,29.09
35,3.96
36,12.48
37,1.02
38,1.44
39,27.52
40,2.34
41,6.12
42,13.6
43,1580.63
44,6.57
45,11.79
46,100.05
47,15.01
48,2.3
49,207.56
50,1.29
51,19.34
52,109.35
53,3.33
54,3.79
55,9.9
56,8.55
57,12.25
58,77.07
59,16.03
60,3.62
61,4.42
62,71.39
63,52.65
64,4.33
65,1.21
66,3.15
67,216.4
68,177.1
69,482.16
70,3.87
71,4.59
72,5.68
73,4.96
74,141.05
75,8.71
76,16.2
77,11.9
78,197.98
79,91.35
80,29.47
81,4.140000000000001
82,14.65
83,14.12
84,4.41
85,39.23
86,15.03
87,13.15
88,28.37
89,8.29
90,2.99
91,199.04
92,5.05
93,23.24
94,30.33
95,20.15
96,5.51
97,77.11
98,33.74
99,10.28
100,33.45
101,20.99
102,30.58
103,6.85
104,2.26
105,17.81
106,10.0
107,32.03
108,36.94
109,21.52
110,8.83
111,44.15
112,7.47
113,15.0
114,35.14
115,9.63
116,38.23
117,21.24
118,69.64
119,7.2
120,19.53
121,1.24
122,17.47
123,88462.11
124,4.59
125,44.61
126,31.38
127,20.41
128,11.79
129,38.2
130,6.67
131,25.72
132,4.779999999999999
133,15.02
134,41.66
135,2.71
136,83.89
137,1.38
138,12.76
139,4.74
140,1343.8
141,5.41
142,1.6400000000000001
143,1.42
144,348.51
145,12.21
146,34.6
147,1.62
148,2.88
149,23.83
150,4.93
151,74.16
152,10.1
153,9.56
154,59.12
155,24.31
156,32.39
157,111.34
158,7.21
159,36.15
160,1.02
161,3.89
162,3.34
163,120.15
164,42.51
165,17.35
166,328.82
167,5.07
168,4.09
169,13.6
170,16.03
171,7.92
172,18.59
173,1259.41
174,5.14
175,12.95
176,12.34
177,33.71
178,38.69
179,15.23
180,101.95
181,59.85
182,9.83
183,31.69
184,22.92
185,17.73
186,2.4299999999999997
187,36.36
188,4.779999999999999
189,33.54
190,36.16
191,8.29
192,126.84
193,27.45
194,119.6
195,38.59
196,16.68
197,3.79
198,20.58
199,75.3
200,36.61
201,18.45
202,4.35
203,39.3
204,105.07
205,17.99
206,47.14
207,46.31
208,1.5
209,11.45
210,9.81
211,17.05
212,84.9
213,17.28
214,3.96
215,5.84
216,7.48
217,10.88
218,6.84
219,82.69
220,57.84
221,204.92
222,9.05
223,151.47
224,249.61
225,17.89
226,6.19
227,53.49
228,67.08
229,57.85
230,29.86
231,9.39
232,143.02
233,7.66
234,49.39
235,151.86
236,1.06
237,1.02
238,20.54
239,5.78
240,1.27
241,15.62
242,2.4299999999999997
243,4.109999999999999
244,4.83
245,2831.27
246,5.24
247,111.99
248,5.45
249,66.85
250,12.32
251,9.74
252,5.74
253,9.61
254,2.48
