COD,HA
1,8.84
2,154.79
3,39.79
4,4.609999999999999
5,78.87
6,17.7
7,4.35
8,4.75
9,1673.55
10,27.52
11,2.59
12,12.25
13,16.03
14,52.65
15,24.21
16,219.99
17,3.87
18,148.76
19,29.47
20,65.85
21,39.23
22,42.48
23,28.37
24,8.29
25,5.05
26,335.36
27,45.17
28,54.26
29,10.0
30,8.83
31,7.2
32,24.24
33,1.38
34,637.93
35,1.42
36,62.41
37,1.62
38,32.39
39,112.87
40,1.02
41,3.89
42,42.51
43,20.17
44,18.59
45,13.77
46,15.23
47,112.85
48,22.92
49,17.73
50,36.16
51,86.19
52,20.58
53,108.03
54,17.99
55,1.5
56,5.84
57,115.52
58,1.06
59,5.78
60,15.62
61,2.4299999999999997
62,18.61
63,25.17
64,111.99
65,100887.57
