COD,HA
1,15.97
2,64.47
3,1.72
4,8.120000000000001
5,26.38
6,1.95
7,6.15
8,7.48
9,154.79
10,21.23
11,19.89
12,245.04
13,39.79
14,6.44
15,32.92
16,4.609999999999999
17,8.73
18,2.54
19,243.18
20,5.87
21,6.62
22,45.39
23,25.5
24,48.67
25,25.49
26,6.7
27,11.28
28,22.54
29,5.92
30,5.21
31,36.63
32,4.65
33,6.57
34,602.77
35,40.27
36,8.2
37,11.67
38,6.58
39,22.24
40,12.72
41,9.98
42,20.4
43,310.76
44,6.15
45,4.42
46,38.93
47,116.05
48,16.4
49,5.13
50,4.24
51,5.14
52,7.29
53,9.29
54,13.16
55,9.41
56,4.35
57,19.17
58,245.09
59,4.75
60,10.45
61,8.46
62,8.2
63,14.4
64,18.74
65,7.3
66,3.96
67,8.65
68,8.45
69,12.42
70,18.63
71,1.02
72,13.33
73,2.9699999999999998
74,11.49
75,3.16
76,4.779999999999999
77,1.44
78,11.35
79,1.99
80,13.97
81,3.87
82,6.12
83,66.62
84,10.52
85,2.34
86,6.12
87,4.68
88,9.92
89,46.54
90,6.57
91,9.81
92,2.26
93,5.61
94,1580.63
95,13.39
96,100.05
97,3.8
98,4.42
99,301.15
100,15.01
101,2.3
102,196.67
103,2.98
104,1.99
105,18.09
106,3.43
107,1.29
108,3.33
109,3.7
110,14.31
111,6.04
112,109.35
113,3.33
114,13.93
115,16.990000000000002
116,3.79
117,9.9
118,15.02
119,8.55
120,59.3
121,12.25
122,10.53
123,5.67
124,77.07
125,16.03
126,3.62
127,4.42
128,52.65
129,9.1
130,71.39
131,4.33
132,1.21
133,5.14
134,4.96
135,3.51
136,3.15
137,164.24
138,288.43
139,3.87
140,6.31
141,4.59
142,5.68
143,8.27
144,4.96
145,14.76
146,24.81
147,12.79
148,6.93
149,7.83
150,13.13
151,1.54
152,2.8
153,8.71
154,6.85
155,16.2
156,13.86
157,1.9
158,10.36
159,26.46
160,129.26
161,216.4
162,4.68
163,11.9
164,5.94
165,4.51
166,16.64
167,91.35
168,2.98
169,71.93
170,29.47
171,101.73
172,6.55
173,188.54
174,16.619999999999997
175,5.5
176,9.9
177,1.99
178,5.67
179,4.33
180,67.27
181,140.11
182,1.99
183,26.44
184,5.04
185,2.35
186,4.140000000000001
187,14.65
188,33.88
189,2.79
190,14.12
191,2.98
192,5.5
193,4.41
194,56.72
195,39.23
196,5.4
197,14.94
198,15.03
199,13.15
200,28.37
201,8.29
202,31.87
203,2.99
204,4.33
205,1.81
206,5.58
207,84.74
208,5.05
209,19.91
210,30.33
211,6.03
212,15.12
213,5.51
214,77.11
215,33.74
216,10.28
217,24.01
218,20.99
219,6.85
220,2.26
221,30.58
222,10.54
223,10.0
224,32.03
225,36.94
226,19.9
227,21.52
228,3.25
229,17.48
230,8.27
231,7.47
232,15.0
233,31.48
234,10.44
235,115.3
236,6.58
237,4.779999999999999
238,9.63
239,14.13
240,8.77
241,4.5
242,25.62
243,23.01
244,8.01
245,38.23
246,3.47
247,7.2
248,19.53
249,13.31
250,1.24
251,17.47
252,8.11
253,21.68
254,69.64
255,641.57
256,34.97
257,5.85
258,4.59
259,44.61
260,3.24
261,10.7
262,20.41
263,142.84
264,11.79
265,33.07
266,6.67
267,17.45
268,4.779999999999999
269,15.02
270,41.66
271,2.71
272,9.27
273,86866.74
274,6.13
275,42.78
276,1.38
277,4.74
278,4.859999999999999
279,12.76
280,40.76
281,5.41
282,1.6400000000000001
283,7.29
284,1.42
285,8.64
286,3.25
287,29.15
288,12.21
289,34.6
290,1.62
291,53.03
292,19.08
293,2.88
294,11.58
295,127.97
296,39.07
297,13.25
298,10.26
299,4.15
300,4.93
301,6.39
302,8.01
303,3.16
304,10.1
305,49.9
306,19.24
307,9.56
308,5.04
309,5.76
310,39.74
311,59.12
312,24.31
313,8.29
314,4.24
315,32.39
316,4.04
317,162.52
318,3.16
319,90.98
320,111.34
321,7.21
322,13.77
323,1.02
324,3.89
325,3.34
326,23.38
327,120.15
328,42.51
329,17.35
330,6.14
331,16.29
332,5.07
333,548.2
334,4.09
335,13.6
336,10.89
337,7.92
338,24.27
339,18.59
340,13.31
341,1112.3
342,1.72
343,5.14
344,12.95
345,12.34
346,2.17
347,33.71
348,142.98
349,38.69
350,15.23
351,79.56
352,26.26
353,9.83
354,31.69
355,17.73
356,22.92
357,2.4299999999999997
358,14.58
359,4.779999999999999
360,4.8100000000000005
361,22.28
362,29.73
363,10.81
364,30.59
365,8.29
366,126.84
367,27.45
368,8.370000000000001
369,12.97
370,6.57
371,31.22
372,16.68
373,3.79
374,34.17
375,20.58
376,75.3
377,1.54
378,36.61
379,22.85
380,18.45
381,4.35
382,25.7
383,47.45
384,27.84
385,81.27
386,17.99
387,11.78
388,47.14
389,27.89
390,1.5
391,3.89
392,9.81
393,8.1
394,8.559999999999999
395,24.8
396,17.05
397,19.42
398,4.5
399,84.9
400,17.28
401,3.96
402,6.5
403,5.84
404,7.48
405,8.280000000000001
406,3.24
407,6.84
408,6.96
409,3.6
410,38.56
411,233.88
412,57.84
413,28.31
414,9.05
415,4.24
416,16.73
417,17.89
418,120.27
419,199.62
420,6.19
421,7.3
422,53.49
423,4.96
424,80.48
425,65.28
426,57.85
427,29.86
428,18.1
429,7.83
430,7.56
431,9.39
432,2.8
433,5.4
434,7.66
435,32.11
436,499.21
437,4.45
438,1.8900000000000001
439,6.3
440,11.86
441,8.379999999999999
442,7.92
443,11.86
444,151.86
445,3.85
446,37.67
447,1.06
448,2.98
449,1.02
450,1.6400000000000001
451,20.54
452,5.78
453,1.27
454,15.62
455,2.4299999999999997
456,4.109999999999999
457,4.83
458,11.44
459,5.24
460,7.55
461,56.14
462,2297.94
463,34.54
464,55.84
465,1.8
466,5.45
467,12.32
468,8.65
469,1.21
470,4.76
471,9.74
472,5.74
473,23.0
474,5.64
475,9.61
476,2.48
