COD,HA
1,60.24
2,8.84
3,154.79
4,21.23
5,39.79
6,4.609999999999999
7,50.26
8,6.62
9,54.37
10,25.5
11,609.89
12,5.92
13,968.78
14,6.58
15,33.96
16,6.15
17,5.13
18,7.29
19,17.7
20,4.35
21,4.75
22,29.09
23,12.48
24,1.02
25,1.44
26,27.52
27,6.12
28,13.6
29,1580.63
30,105.62
31,15.01
32,2.59
33,9.9
34,8.55
35,12.25
36,77.07
37,16.03
38,3.62
39,71.39
40,52.65
41,4.33
42,177.31
43,3.15
44,216.4
45,493.06
46,3.87
47,4.59
48,20.88
49,4.96
50,148.76
51,91.35
52,29.47
53,4.140000000000001
54,14.65
55,14.12
56,4.41
57,39.23
58,15.03
59,13.15
60,28.37
61,8.29
62,2.99
63,199.04
64,5.05
65,29.09
66,30.33
67,20.15
68,36.54
69,33.74
70,10.28
71,20.99
72,2.26
73,17.81
74,10.0
75,36.94
76,44.15
77,21.52
78,8.83
79,7.47
80,9.63
81,38.23
82,21.24
83,7.2
84,19.53
85,1.24
86,17.47
87,89587.56
88,4.59
89,45.25
90,31.38
91,27.6
92,20.41
93,6.67
94,4.779999999999999
95,15.02
96,41.66
97,2.71
98,83.89
99,1.38
100,12.76
101,4.74
102,5.41
103,1.42
104,12.21
105,34.6
106,1.62
107,23.83
108,4.93
109,10.1
110,9.56
111,59.12
112,24.31
113,32.39
114,2526.19
115,7.21
116,36.15
117,1.02
118,3.89
119,3.34
120,42.51
121,17.35
122,16.03
123,5.07
124,4.09
125,13.6
126,7.92
127,18.59
128,1336.35
129,5.14
130,12.34
131,78.69
132,15.23
133,59.85
134,9.83
135,43.64
136,22.92
137,17.73
138,2.4299999999999997
139,73.95
140,33.54
141,36.16
142,27.45
143,62.82
144,20.58
145,36.61
146,18.45
147,4.35
148,39.3
149,105.07
150,17.99
151,46.31
152,1.5
153,333.51
154,258.1
155,3.96
156,5.84
157,7.48
158,234.48
159,57.84
160,159.52
161,17.89
162,6.19
163,53.49
164,67.08
165,57.85
166,9.39
167,49.39
168,151.86
169,1.06
170,1.02
171,20.54
172,5.78
173,1.27
174,15.62
175,2.4299999999999997
176,4.109999999999999
177,4.83
178,3072.79
179,5.24
180,111.99
181,5.45
182,66.85
183,12.32
184,7.22
185,9.61
