COD,HA
1,15.97
2,8.84
3,308.51
4,26.38
5,154.79
6,21.23
7,19.89
8,39.79
9,6.44
10,32.92
11,4.609999999999999
12,8.73
13,5.87
14,6.62
15,45.39
16,25.5
17,54.37
18,267.67
19,22.54
20,5.92
21,5.21
22,4.65
23,6.57
24,609.97
25,40.27
26,6.58
27,22.24
28,12.72
29,9.98
30,20.4
31,310.76
32,6.15
33,4.42
34,20.54
35,5.13
36,4.24
37,7.29
38,9.29
39,245.09
40,13.16
41,9.41
42,4.35
43,4.75
44,8.2
45,18.74
46,3.96
47,8.65
48,8.45
49,12.42
50,11.49
51,18.63
52,1.02
53,26.73
54,2.9699999999999998
55,3.16
56,4.779999999999999
57,1.44
58,11.35
59,1.99
60,13.97
61,3.87
62,68.75
63,15.13
64,2.34
65,6.12
66,13.6
67,6.57
68,9.81
69,2.26
70,1580.63
71,13.39
72,100.05
73,4.42
74,15.01
75,2.3
76,201.71
77,2.98
78,1.99
79,3.43
80,1.29
81,3.33
82,17.01
83,109.35
84,3.33
85,3.79
86,9.9
87,8.55
88,12.25
89,10.53
90,77.07
91,16.03
92,3.62
93,4.42
94,71.39
95,52.65
96,4.33
97,1.21
98,3.15
99,216.4
100,177.1
101,331.33
102,3.87
103,4.59
104,5.68
105,4.96
106,12.79
107,6.93
108,7.83
109,8.71
110,16.2
111,129.26
112,4.68
113,11.9
114,9.45
115,91.35
116,2.98
117,189.53
118,29.47
119,105.77
120,9.9
121,4.33
122,144.05
123,26.44
124,4.140000000000001
125,14.65
126,14.12
127,2.98
128,4.41
129,39.23
130,36.27
131,15.03
132,13.15
133,28.37
134,8.29
135,2.99
136,4.33
137,6.39
138,84.74
139,5.05
140,19.91
141,30.33
142,20.15
143,5.51
144,77.11
145,33.74
146,10.28
147,24.01
148,20.99
149,6.85
150,2.26
151,30.58
152,17.81
153,10.0
154,36.94
155,32.03
156,21.52
157,44.15
158,7.47
159,10.44
160,15.0
161,31.48
162,115.3
163,8.83
164,31.64
165,9.63
166,38.23
167,88017.48
168,14.13
169,4.5
170,23.01
171,69.64
172,8.01
173,7.2
174,19.53
175,1.24
176,17.47
177,8.11
178,34.97
179,5.85
180,4.59
181,44.61
182,31.38
183,20.41
184,142.84
185,11.79
186,38.2
187,6.67
188,17.45
189,4.779999999999999
190,15.02
191,41.66
192,2.71
193,9.27
194,83.89
195,1.38
196,12.76
197,40.76
198,4.74
199,1284.3
200,127.97
201,5.41
202,1.6400000000000001
203,7.29
204,1.42
205,3.25
206,36.79
207,12.21
208,34.6
209,1.62
210,2.88
211,23.83
212,10.26
213,4.93
214,67.87
215,8.01
216,10.1
217,9.56
218,5.76
219,39.74
220,59.12
221,24.31
222,32.39
223,90.98
224,111.34
225,7.21
226,13.77
227,1.02
228,3.89
229,3.34
230,23.38
231,120.15
232,42.51
233,17.35
234,6.14
235,179.97
236,5.07
237,4.09
238,13.6
239,10.89
240,7.92
241,18.59
242,1115.54
243,5.14
244,12.95
245,12.34
246,144.87
247,33.71
248,38.69
249,15.23
250,79.56
251,38.57
252,9.83
253,31.69
254,22.92
255,17.73
256,2.4299999999999997
257,24.39
258,4.779999999999999
259,33.54
260,22.28
261,36.16
262,8.29
263,126.84
264,27.45
265,12.97
266,34.17
267,38.59
268,16.68
269,3.79
270,20.58
271,75.3
272,1.54
273,36.61
274,22.85
275,18.45
276,4.35
277,25.7
278,47.45
279,39.3
280,105.07
281,17.99
282,11.78
283,47.14
284,27.89
285,1.5
286,9.81
287,8.1
288,11.45
289,17.05
290,19.42
291,4.5
292,84.9
293,17.28
294,3.96
295,5.84
296,7.48
297,8.280000000000001
298,3.24
299,6.84
300,3.6
301,57.84
302,199.62
303,28.31
304,9.05
305,140.61
306,249.61
307,17.89
308,6.19
309,53.49
310,67.08
311,57.85
312,29.86
313,55.38
314,9.39
315,91.71
316,7.66
317,42.97
318,6.3
319,11.86
320,151.86
321,49.39
322,1.06
323,1.02
324,20.54
325,5.78
326,1.27
327,15.62
328,2.4299999999999997
329,4.109999999999999
330,4.83
331,2826.63
332,5.24
333,110.98
334,1.8
335,5.45
336,66.85
337,12.32
338,1.21
339,9.74
340,5.74
341,5.64
342,9.61
343,2.48
