COD,HA
1,11.16
2,5.81
3,64.47
4,1.72
5,8.120000000000001
6,26.38
7,1.95
8,6.15
9,7.48
10,100.37
11,21.23
12,19.89
13,245.04
14,26.29
15,3.23
16,6.02
17,13.06
18,129.5
19,18.41
20,217.5
21,21.53
22,6.44
23,28.67
24,4.609999999999999
25,8.73
26,5.25
27,2.59
28,3.19
29,16.6
30,3.81
31,43.22
32,2.54
33,1.8399999999999999
34,3.13
35,3.66
36,25.03
37,5.87
38,2.75
39,4.65
40,6.62
41,6.91
42,4.6
43,26.86
44,218.31
45,24.22
46,19.05
47,25.5
48,6.4
49,22.17
50,30.62
51,4.95
52,6.7
53,21.54
54,11.28
55,4.43
56,16.29
57,5.69
58,14.42
59,5.92
60,5.21
61,17.55
62,36.63
63,3.61
64,4.65
65,6.57
66,22.17
67,8.74
68,9.71
69,602.77
70,40.27
71,4.140000000000001
72,8.2
73,2024.09
74,6.2
75,4.23
76,3.61
77,8.02
78,1.01
79,8.440000000000001
80,6.58
81,14.21
82,3.16
83,22.24
84,3.61
85,5.05
86,8.809999999999999
87,1.63
88,813.63
89,4.0600000000000005
90,30.04
91,12.72
92,9.98
93,9.62
94,12.66
95,269.57
96,6.57
97,1.1
98,1.18
99,11.78
100,50.74
101,30.07
102,2.88
103,6.15
104,39.89
105,15.82
106,4.42
107,4.7
108,6.85
109,5.04
110,1.72
111,2.1799999999999997
112,24.82
113,7.57
114,5.23
115,6.77
116,2.44
117,3.3
118,9.46
119,5.77
120,6.61
121,18.22
122,13.02
123,16.4
124,4.42
125,2.98
126,8.190000000000001
127,21.13
128,5.13
129,38.33
130,9.2
131,35.81
132,2.71
133,71.69
134,21.71
135,4.15
136,66.61
137,6.84
138,4.24
139,2.71
140,2.8899999999999997
141,5.14
142,130.52
143,143.7
144,22.74
145,4.779999999999999
146,4.42
147,3.17
148,13.69
149,2.8
150,6.3
151,4.77
152,7.29
153,63.71
154,14.87
155,7.92
156,3.42
157,9.29
158,42.44
159,6.4
160,82.09
161,2.88
162,7.76
163,12.69
164,9.41
165,13.79
166,4.35
167,13.51
168,11.98
169,10.81
170,4.75
171,8.469999999999999
172,13.16
173,8.46
174,18.23
175,2.17
176,153.72
177,9.36
178,29.96
179,4.51
180,3.15
181,19.89
182,2.98
183,22.61
184,6.32
185,5.41
186,3.43
187,8.379999999999999
188,21.53
189,18.53
190,9.89
191,14.4
192,4.6899999999999995
193,4.59
194,31.31
195,9.99
196,4.43
197,8.91
198,7.3
199,5.36
200,3.96
201,8.65
202,4.6
203,5.13
204,8.85
205,5.14
206,8.45
207,2.44
208,12.98
209,16.67
210,11.17
211,10.98
212,4.42
213,8.46
214,4.32
215,16.740000000000002
216,1.02
217,13.33
218,2.9699999999999998
219,6.3
220,5.24
221,34.14
222,4.23
223,5.95
224,8.17
225,60.78
226,237.14
227,1.72
228,6.76
229,12.61
230,6.21
231,2.71
232,2.5300000000000002
233,2.17
234,29.22
235,3.16
236,4.779999999999999
237,12.94
238,1.44
239,11.35
240,1.99
241,13.97
242,3.87
243,6.12
244,6.84
245,108.4
246,10.52
247,2.34
248,16.39
249,4.59
250,4.68
251,2.5300000000000002
252,9.92
253,41.32
254,6.57
255,35.82
256,4.24
257,2.26
258,5.61
259,3.16
260,11.55
261,2.98
262,5.76
263,15.28
264,4.59
265,86.66
266,38.04
267,3.8
268,27.03
269,13.39
270,13.23
271,4.32
272,4.42
273,6.22
274,3.15
275,10.8
276,61.16
277,36.61
278,15.01
279,2.3
280,2.98
281,13.87
282,1.99
283,7.38
284,14.39
285,28.08
286,5.22
287,2.71
288,1.29
289,3.33
290,3.43
291,3.7
292,32.75
293,1.72
294,14.84
295,242.57
296,15.93
297,7.66
298,6.93
299,340.65
300,14.31
301,3.52
302,4.4399999999999995
303,19.44
304,6.01
305,6.04
306,22.86
307,5.04
308,2.7199999999999998
309,59.85
310,74.51
311,7.02
312,22.03
313,3.33
314,7.76
315,13.39
316,19.45
317,33.54
318,16.990000000000002
319,1580.63
320,26.28
321,46.61
322,2.62
323,35.84
324,41.87
325,6.3
326,2.09
327,1390.45
328,3.79
329,1.54
330,6.68
331,9.9
332,7.02
333,52.87
334,8.55
335,3.7
336,75.09
337,12.25
338,809.24
339,6.03
340,5.67
341,10.53
342,3.97
343,3.35
344,39.97
345,16.03
346,14.48
347,4.87
348,20.33
349,3.15
350,24.99
351,3.62
352,97.55
353,4.42
354,19.33
355,37.25
356,10.25
357,2.71
358,62.09
359,2.62
360,7.84
361,5.67
362,107.13
363,19.09
364,4.51
365,7.83
366,52.65
367,3.32
368,4.42
369,11.43
370,3.7
371,10.35
372,5.94
373,8.57
374,16.65
375,9.1
376,2.44
377,23.28
378,2.8899999999999997
379,6.67
380,14.22
381,33.54
382,228.55
383,4.33
384,3.79
385,11.06
386,11.61
387,1.21
388,5.14
389,4.96
390,3.51
391,4.24
392,9.91
393,9.91
394,155.07
395,2.25
396,3.15
397,5.32
398,4780.14
399,29.73
400,44.22
401,82.62
402,3.87
403,6.31
404,4.59
405,5.68
406,8.27
407,25.46
408,4.96
409,8.2
410,24.81
411,12.79
412,6.93
413,7.83
414,83.92
415,13.13
416,1.54
417,7.56
418,51.98
419,50.67
420,2.8
421,64.62
422,7.19
423,2.98
424,3.16
425,6.49
426,8.82
427,9.71
428,4.859999999999999
429,16.189999999999998
430,7.48
431,1.9
432,2.52
433,4.6899999999999995
434,3.97
435,7.39
436,7.83
437,5.15
438,590.61
439,917.8
440,15.74
441,138.0
442,2.8899999999999997
443,205.51
444,4.68
445,11.9
446,44.99
447,19.63
448,8.190000000000001
449,3.96
450,7.12
451,7.21
452,227.02
453,2.98
454,23.41
455,6.67
456,4.51
457,16.64
458,51.74
459,22.41
460,14.04
461,2.98
462,8.82
463,5.76
464,2.1399999999999997
465,9.17
466,18.08
467,56533.38
468,8.190000000000001
469,26.68
470,23.92
471,7.47
472,71.93
473,91.35
474,7.29
475,331.34
476,9.01
477,31.05
478,6.55
479,4.23
480,7.64
481,6.75
482,44.77
483,7.65
484,25.72
485,128.32999999999998
486,10.35
487,10.09
488,13.12
489,5.85
490,18.43
491,5.5
492,26.64
493,16.619999999999997
494,3.79
495,9.9
496,3.05
497,8.83
498,1.99
499,5.67
500,4.33
501,67.27
502,130.58
503,42.78
504,8.370000000000001
505,5.59
506,1.99
507,13.86
508,4.95
509,7.29
510,18.88
511,4.07
512,5.04
513,2.35
514,6.49
515,4.140000000000001
516,9.18
517,13.49
518,8.99
519,2.7
520,2.79
521,10.53
522,14.12
523,33.87
524,2.98
525,5.5
526,2.08
527,4.41
528,200.06
529,15.2
530,2.16
531,17.26
532,56.72
533,16.560000000000002
534,4.77
535,164.15
536,23.47
537,23.41
538,5.4
539,14.94
540,25.89
541,12.32
542,15.03
543,8.559999999999999
544,13.15
545,8.29
546,22.58
547,2.71
548,3.79
549,21.52
550,3.07
551,2.99
552,4.33
553,1.81
554,31.87
555,5.58
556,134.07
557,5.05
558,4.24
559,1.9
560,30.33
561,7.85
562,526.0
563,8.559999999999999
564,79.88
565,6.03
566,5.21
567,16.82
568,2.45
569,1.81
570,9.73
571,7.66
572,1.54
573,229.24
574,5.51
575,39.74
576,71.72
577,30.32
578,10.28
579,6.39
580,14.48
581,6.39
582,20.99
583,31.11
584,5.58
585,6.85
586,2.26
587,14.13
588,22.4
589,10.53
590,8.11
591,11.53
592,10.54
593,5.86
594,12.33
595,5.84
596,20.7
597,36.94
598,4.25
599,4.42
600,21.52
601,24.41
602,5.76
603,1.97
604,6.76
605,3.25
606,12.44
607,2.8899999999999997
608,43.79
609,6.04
610,5.22
611,4.05
612,7.47
613,15.0
614,4.779999999999999
615,4.42
616,18.44
617,1.04
618,10.89
619,6.66
620,4.42
621,6.03
622,74.77
623,71.95
624,4.0600000000000005
625,4.779999999999999
626,9.63
627,9.18
628,3.07
629,15.55
