COD,HA
513,2.98
514,3.16
515,6.49
516,4.95
517,4.87
518,9.71
519,4.859999999999999
520,16.189999999999998
521,7.48
522,1.9
523,1.63
524,4.6899999999999995
525,3.97
526,7.39
527,7.83
528,5.15
529,590.61
530,917.79
531,1.8900000000000001
532,15.74
533,138.0
534,2.8899999999999997
535,205.51
536,4.68
537,11.9
538,44.99
539,19.63
540,8.190000000000001
541,3.96
542,7.12
543,7.21
544,226.31
545,2.98
546,23.41
547,6.67
548,4.51
549,16.64
550,51.74
551,22.41
552,14.04
553,2.98
554,8.82
555,1.01
556,1.45
557,5.76
558,1.25
559,2.1399999999999997
560,9.17
561,18.08
562,49947.36
563,8.190000000000001
564,26.68
565,23.92
566,7.47
567,71.93
568,91.35
569,7.29
570,331.34
571,9.01
572,31.05
573,6.55
574,4.23
575,7.64
576,6.75
577,16.369999999999997
578,7.65
579,25.72
580,29.4
581,62.94
582,10.35
583,10.09
584,13.12
585,5.85
586,18.43
587,5.5
588,26.64
589,13.12
590,3.79
591,9.9
592,3.05
593,8.83
594,1.99
595,5.67
596,4.33
597,67.27
598,130.58
599,42.78
600,8.370000000000001
601,5.59
602,1.99
603,4.5
604,13.86
605,4.95
606,7.29
607,11.14
608,4.07
609,5.04
610,2.35
611,6.49
612,4.140000000000001
613,9.18
614,66.39
615,13.49
616,8.99
617,2.7
618,8.74
619,2.79
620,10.53
621,14.12
622,1.01
623,33.87
624,2.98
625,5.5
626,2.08
627,4.41
628,166.73
629,15.2
630,2.16
631,17.26
632,56.72
633,16.560000000000002
634,4.77
635,162.21
636,23.47
637,23.41
638,5.4
639,14.94
640,25.89
641,12.32
642,15.03
643,8.559999999999999
644,13.15
645,34.33
646,8.29
647,22.58
648,2.71
649,3.79
650,21.52
651,3.07
652,2.99
653,4.33
654,1.81
655,31.87
656,5.58
657,134.07
658,33.05
659,5.05
660,4.24
661,1.9
662,30.33
663,7.85
664,525.99
665,8.559999999999999
666,79.88
667,6.03
668,5.21
669,2.9299999999999997
670,16.82
671,2.45
672,1.81
673,9.73
674,7.66
675,1.01
676,1.54
677,229.24
678,5.51
679,39.74
680,71.72
681,30.32
682,10.28
683,6.39
684,14.48
685,6.39
686,20.99
687,31.11
688,5.58
689,6.85
690,2.26
691,14.13
692,22.4
693,10.53
694,8.11
695,11.53
696,10.54
697,5.86
698,12.33
699,5.84
700,20.7
701,36.94
702,4.25
703,4.42
704,21.52
705,24.41
706,5.76
707,1.01
708,1.96
709,6.76
710,3.25
711,12.44
712,2.8899999999999997
713,43.79
714,6.04
715,5.22
716,4.05
717,7.47
718,15.0
719,4.779999999999999
720,4.42
721,18.44
722,1.01
723,1.01
724,10.89
725,1.01
726,6.66
727,4.42
728,1.01
729,6.03
730,45.66
731,71.95
732,5.49
733,4.0600000000000005
734,4.779999999999999
735,9.63
736,9.18
737,3.07
738,15.55
739,3.52
740,4.0600000000000005
741,8.190000000000001
742,5.85
743,14.04
744,8.77
745,6.93
746,4.5
747,9.35
748,456.47
749,15.01
750,6.49
751,2.9699999999999998
752,14.13
753,89.99
754,6.04
755,38.23
756,3.47
757,2.98
758,30.46
759,20.69
760,15.29
761,6.57
762,13.31
763,5.24
764,15.29
765,1.24
766,17.47
767,7.1
768,9.0
769,63.85
770,7.2
771,4.24
772,25.62
773,4.87
774,3.52
775,10.81
776,4.59
777,21.68
778,51.84
779,9.45
780,11.88
781,4.6899999999999995
782,9.73
783,5.85
784,2.98
785,8.469999999999999
786,4.59
787,31.41
788,3.24
789,56.98
790,7.21
791,8.09
792,3.16
793,20.41
794,95.12
795,4.49
796,11.79
797,33.07
798,6.67
799,3.25
800,7.43
801,7.12
802,4.779999999999999
803,14.2
804,15.02
805,24.09
806,3.96
807,5.14
808,41.66
809,2.71
810,26.42
811,17.27
812,1.9
813,15.2
814,9.56
815,6.13
816,42.78
817,1.38
818,276.54
819,11.14
820,4.74
821,5.38
822,4.859999999999999
823,8.370000000000001
824,2.62
825,40.76
826,3.07
827,1.97
828,18.53
829,44.22
830,5.41
831,1.6400000000000001
832,7.29
833,1.42
834,15.19
835,14.48
836,4.59
837,30.74
838,3.25
839,89.78
840,8.64
841,11468.44
842,5.4
843,232.29
844,3.24
845,2.44
846,2.25
847,12.21
848,13.85
849,1.62
850,5.4
851,8.559999999999999
852,7.66
853,2.88
854,6.87
855,11.15
856,3.7
857,9.26
858,7.89
859,2.71
860,8.49
861,10.26
862,10.8
863,4.15
864,9.0
865,4.93
866,12.42
867,1.42
868,43.78
869,16.02
870,6.39
871,3.16
872,8.01
873,5.77
874,1.01
875,7.58
876,11.43
877,38.92
878,5.76
879,9.09
880,6.48
881,16.27
882,32.18
883,10.1
884,19.24
885,2.45
886,9.56
887,5.77
888,19.69
889,6.31
890,5.04
891,5.76
892,1.02
893,14.67
894,59.12
895,44.59
896,2.94
897,24.31
898,8.29
899,4.24
900,14.17
901,19.22
902,4.04
903,27.24
904,37.2
905,9.36
906,48.81
907,1.04
908,2.62
909,3.16
910,4.41
911,12.32
912,39.37
913,39.12
914,4.23
915,7.21
916,13.77
917,1.01
918,1.01
919,3.34
920,3.88
921,82.54
922,1.01
923,14.2
924,29.76
925,1.08
926,3.78
927,1.62
928,71.34
929,154.97
930,2.88
931,58.62
932,23.38
933,58.67
934,6.3
935,1.06
936,17.35
937,6.14
938,7.1
939,275.39
940,42.51
941,9.27
942,10.27
943,5.07
944,19.79
945,6.03
