COD,HA
510,19.33
511,1.62
512,5.4
513,8.559999999999999
514,19.08
515,2.88
516,17.13
517,11.58
518,3.7
519,7.89
520,13.25
521,10.26
522,21.23
523,4.15
524,9.0
525,4.93
526,43.78
527,16.02
528,6.39
529,8.01
530,3.16
531,48.63
532,16.27
533,32.18
534,10.1
535,19.24
536,2.45
537,9.56
538,7.48
539,49.9
540,5.04
541,5.76
542,14.67
543,59.12
544,24.31
545,8.29
546,4.24
547,14.17
548,19.22
549,4.04
550,52.51
551,37.2
552,3.16
553,4.41
554,12.32
555,111.34
556,4.23
557,7.21
558,13.77
559,1.02
560,3.89
561,3.34
562,82.54
563,306.93
564,161.07
565,108.99
566,23.38
567,77.46
568,43.69
569,6.3
570,17.35
571,6.14
572,42.51
573,9.27
574,10.27
575,5.07
576,6.03
577,137.42
578,4.09
579,13.6
580,10.89
581,7.92
582,2.1399999999999997
583,7.18
584,7.02
585,24.27
586,2.5700000000000003
587,18.59
588,13.31
589,1003.54
590,1.72
591,9.64
592,5.14
593,12.95
594,12.34
595,2.17
596,14.91
597,15.91
598,15.37
599,15.23
600,79.56
601,26.26
602,6.79
603,9.83
604,38.69
605,21.87
606,30.62
607,17.73
608,22.92
609,2.4299999999999997
610,14.58
611,33.71
612,5.03
613,70.1
614,4.779999999999999
615,4.8100000000000005
616,22.28
617,29.73
618,30.59
619,32.89
620,10.81
621,36.95
622,8.29
623,59.0
624,27.45
625,8.370000000000001
626,12.97
627,6.57
628,22.76
629,31.22
630,16.68
631,3.79
632,6.22
633,20.58
634,14.21
635,71.52
636,2.4299999999999997
637,1.54
638,9.64
639,36.61
640,7.19
641,4.9399999999999995
642,3.78
643,4.35
644,22.92
645,14.95
646,7.93
647,17.99
648,4.859999999999999
649,33.19
650,5.95
651,1.5
652,4.779999999999999
653,74.34
654,1.6600000000000001
655,7.92
656,3.89
657,14.51
658,22.94
659,27.18
660,9.81
661,8.1
662,8.559999999999999
663,16.35
664,9.45
665,17.05
666,19.42
667,4.5
668,79.51
669,17.28
670,47.45
671,3.96
672,26.7
673,5.84
674,6.5
675,7.48
676,8.280000000000001
677,3.24
678,6.84
679,6.96
680,3.6
681,20.32
682,233.88
683,6.93
684,57.84
685,9.9
686,28.31
687,9.05
688,4.24
689,7.83
690,6.39
691,17.89
692,17.37
693,3.16
694,22.67
695,191.36
696,6.19
697,85.18
698,19.24
699,7.3
700,3.33
701,30.15
702,4.96
703,24.34
704,13.33
705,65.28
706,57.85
707,4.41
708,29.86
709,18.1
710,33.93
711,7.83
712,7.56
713,9.39
714,2.8
715,5.4
716,7.66
717,32.11
718,481.72
719,4.45
720,1.8900000000000001
721,6.3
722,11.86
723,8.379999999999999
724,7.92
725,11.86
726,3.85
727,151.86
728,37.67
729,1.06
730,2.98
731,1.02
732,1.6400000000000001
733,20.54
734,18.49
735,5.78
736,1.27
737,15.62
738,2.4299999999999997
739,3.15
740,30.96
741,4.109999999999999
742,8.2
743,4.83
744,5.24
745,11.44
746,7.55
747,56.14
748,29.09
749,5.37
750,9.58
751,55.84
752,1.8
753,5.45
754,6.38
755,12.32
756,8.65
757,1.21
758,4.76
759,25.96
760,13.24
761,9.74
762,5.74
763,5.38
764,5.64
765,96.23
766,7.39
767,9.61
768,2.48
769,2124.55
