COD,HA
1,11.16
2,5.81
3,64.47
4,1.72
5,8.120000000000001
6,26.38
7,1.95
8,6.15
9,7.48
10,21.23
11,19.89
12,245.04
13,154.79
14,217.5
15,21.53
16,6.44
17,32.92
18,4.609999999999999
19,8.73
20,16.6
21,43.22
22,2.54
23,1.8399999999999999
24,3.13
25,3.66
26,242.34
27,5.87
28,6.62
29,4.6
30,24.22
31,25.5
32,22.17
33,48.67
34,4.95
35,6.7
36,21.54
37,11.28
38,9.12
39,14.42
40,5.92
41,5.21
42,17.55
43,36.63
44,3.61
45,4.65
46,6.57
47,8.74
48,602.77
49,40.27
50,8.2
51,4.23
52,8.440000000000001
53,6.58
54,2852.47
55,22.24
56,5.05
57,30.14
58,12.72
59,9.98
60,9.62
61,12.84
62,269.57
63,11.78
64,39.89
65,30.07
66,6.15
67,4.42
68,4.7
69,7.57
70,3.3
71,17.66
72,5.77
73,18.22
74,35.81
75,16.4
76,4.42
77,5.13
78,38.33
79,21.71
80,4.24
81,47.59
82,5.14
83,82.09
84,4.779999999999999
85,9.72
86,5.59
87,13.69
88,6.57
89,7.29
90,9.29
91,13.16
92,9.41
93,25.95
94,4.35
95,13.51
96,10.81
97,4.75
98,8.46
99,2.17
100,9.36
101,29.96
102,8.2
103,3.15
104,28.78
105,10.45
106,22.61
107,6.32
108,87.54
109,7.03
110,24.95
111,14.4
112,8.95
113,12.98
114,7.3
115,3.96
116,8.65
117,5.13
118,5.14
119,8.45
120,2.44
121,10.98
122,12.7
123,4.32
124,16.740000000000002
125,1.02
126,13.33
127,2.9699999999999998
128,8.17
129,60.78
130,237.14
131,1.72
132,6.76
133,2.71
134,2.17
135,29.22
136,3.16
137,4.779999999999999
138,1.44
139,11.35
140,1.99
141,13.97
142,3.87
143,6.12
144,6.84
145,133.41
146,10.52
147,2.34
148,4.59
149,4.68
150,2.5300000000000002
151,9.92
152,41.32
153,6.57
154,35.82
155,2.26
156,5.61
157,61.16
158,3.16
159,11.55
160,1580.63
161,9.81
162,100.05
163,3.8
164,13.39
165,4.42
166,6.22
167,3.15
168,10.8
169,15.01
170,2.3
171,28.08
172,2.98
173,13.87
174,1.99
175,7.38
176,5.22
177,2.71
178,1.29
179,3.33
180,3.7
181,1.72
182,169.59
183,14.31
184,301.15
185,6.04
186,17.65
187,74.51
188,3.33
189,13.39
190,120.0
191,16.990000000000002
192,2.62
193,35.84
194,6.3
195,2.09
196,1533.17
197,3.79
198,1.54
199,9.9
200,7.02
201,52.87
202,8.55
203,59.3
204,12.25
205,10.53
206,6.03
207,5.67
208,3.97
209,16.83
210,16.03
211,3.15
212,61.24
213,3.62
214,4.42
215,10.25
216,99.26
217,7.84
218,19.09
219,4.51
220,7.83
221,52.65
222,4.42
223,10.35
224,8.57
225,16.65
226,9.1
227,2.8899999999999997
228,4.33
229,1.21
230,5.14
231,4.96
232,3.51
233,33.19
234,9.91
235,3.15
236,49.89
237,151.91
238,288.43
239,3.87
240,6.31
241,4.59
242,5.68
243,8.27
244,4.96
245,14.76
246,24.81
247,12.79
248,6.93
249,7.83
250,13.13
251,1.54
252,2.8
253,8.71
254,6.85
255,14.31
256,9.71
257,16.189999999999998
258,1.9
259,10.36
260,7.83
261,5.15
262,5985.91
263,216.4
264,2.8899999999999997
265,4.68
266,11.9
267,19.63
268,8.190000000000001
269,5.94
270,13.33
271,4.51
272,16.64
273,91.35
274,129.26
275,2.98
276,29.47
277,71.93
278,6.55
279,21.66
280,7.64
281,44.77
282,145.6
283,23.28
284,16.619999999999997
285,378.11
286,5.5
287,101.73
288,9.9
289,8.83
290,1.99
291,5.67
292,4.33
293,67.27
294,140.11
295,1.99
296,4.95
297,18.88
298,5.04
299,2.35
300,6.49
301,4.140000000000001
302,9.18
303,14.65
304,8.99
305,2.7
306,2.79
307,14.12
308,33.87
309,2.98
310,5.5
311,2.08
312,4.41
313,17.26
314,56.72
315,39.03
316,25.89
317,4.77
318,164.15
319,39.23
320,5.4
321,14.94
322,15.03
323,8.559999999999999
324,13.15
325,8.29
326,31.87
327,2.99
328,4.33
329,1.81
330,5.58
331,5.05
332,4.24
333,30.33
334,28.37
335,15.22
336,84.74
337,2.45
338,6.03
339,15.12
340,5.51
341,39.74
342,77.11
343,33.74
344,10.28
345,24.01
346,20.99
347,5.58
348,6.85
349,2.26
350,14.13
351,22.4
352,10.54
353,10.0
354,11.53
355,5.84
356,32.03
357,36.94
358,19.9
359,21.52
360,5.76
361,3.25
362,12.44
363,74.91
364,6.04
365,8.27
366,7.47
367,15.0
368,4.779999999999999
369,4.42
370,18.44
371,6.66
372,88.0
373,91.64
374,4.0600000000000005
375,4.779999999999999
376,9.63
377,3.52
378,4.0600000000000005
379,498.88
380,14.13
381,14.04
382,8.77
383,4.5
384,25.62
385,23.01
386,6.49
387,2.9699999999999998
388,95.02
389,6.04
390,38.23
391,3.47
392,2.98
393,41.35
394,7.2
395,13.31
396,19.53
397,1.24
398,17.47
399,63.85
400,8.11
401,62.64
402,21.68
403,64.15
404,9.45
405,11.88
406,5.85
407,4.59
408,3.24
409,10.7
410,20.41
411,11.79
412,33.07
413,6.67
414,7.43
415,24.09
416,42.09
417,4.779999999999999
418,44.61
419,15.02
420,41.66
421,2.71
422,32.010000000000005
423,1.9
424,17.45
425,6.13
426,42.78
427,1.38
428,301.96
429,4.74
430,9.94
431,4.859999999999999
432,8.370000000000001
433,12.76
434,40.76
435,48.99
436,5.41
437,1.6400000000000001
438,7.29
439,1.42
440,8.64
441,15.19
442,127.82
443,3.25
444,73315.3
445,5.4
446,235.78
447,2.44
448,12.21
449,1.62
450,5.4
451,8.559999999999999
452,19.08
453,2.88
454,11.58
455,3.7
456,39.07
457,7.48
458,13.25
459,10.26
460,21.23
461,4.15
462,9.0
463,4.93
464,43.78
465,16.02
466,6.39
467,8.01
468,3.16
469,48.63
470,34.6
471,10.1
472,19.24
473,2.45
474,9.56
475,49.9
476,5.04
477,5.76
478,30.8
479,59.12
480,24.31
481,8.29
482,4.24
483,14.17
484,19.22
485,4.04
486,37.2
487,3.16
488,4.41
489,111.34
490,4.23
491,7.21
492,13.77
493,1.02
494,3.89
495,3.34
496,82.54
497,318.25
498,161.07
499,108.99
500,23.38
501,120.15
502,17.35
503,6.14
504,42.51
505,9.27
506,10.27
507,5.07
508,6.03
509,194.23
510,4.09
511,13.6
512,10.89
513,7.92
514,2.1399999999999997
515,7.02
516,24.27
517,11.21
518,18.59
519,13.31
520,1009.72
521,1.72
522,5.14
523,12.95
524,12.34
525,2.17
526,14.91
527,15.91
528,15.37
529,15.23
530,79.56
531,26.26
532,6.79
533,9.83
534,38.69
535,21.87
536,30.62
537,17.73
538,22.92
539,2.4299999999999997
540,14.58
541,33.71
542,5.03
543,70.1
544,4.779999999999999
545,4.8100000000000005
546,22.28
547,36.95
548,29.73
549,30.59
550,32.89
551,10.81
552,8.29
553,59.0
554,27.45
555,8.370000000000001
556,12.97
557,6.57
558,22.76
559,31.22
560,16.68
561,3.79
562,6.22
563,20.58
564,71.52
565,2.4299999999999997
566,1.54
567,22.85
568,36.61
569,7.19
570,18.45
571,3.78
572,4.35
573,22.92
574,47.45
575,14.95
576,81.27
577,17.99
578,4.859999999999999
579,33.19
580,27.89
581,1.5
582,4.779999999999999
583,1.6600000000000001
584,7.92
585,3.89
586,27.18
587,9.81
588,8.1
589,8.559999999999999
590,24.8
591,17.05
592,19.42
593,4.5
594,79.51
595,17.28
596,3.96
597,26.7
598,5.84
599,6.5
600,7.48
601,8.280000000000001
602,3.24
603,6.84
604,6.96
605,3.6
606,20.32
607,233.88
608,57.84
609,9.9
610,28.31
611,9.05
612,4.24
613,22.67
614,7.83
615,6.39
616,17.89
617,17.37
618,87.34
619,6.19
620,19.24
621,7.3
622,199.62
623,30.15
624,4.96
625,24.34
626,13.33
627,65.28
628,57.85
629,4.41
630,29.86
