COD,HA
1,8.84
2,154.79
3,39.79
4,4.609999999999999
5,55.18
6,6.62
7,78.87
8,978.49
9,33.96
10,6.15
11,7.29
12,17.7
13,4.35
14,4.75
15,29.09
16,12.48
17,27.52
18,1580.63
19,119.63
20,2.59
21,9.9
22,8.55
23,12.25
24,16.03
25,3.62
26,71.39
27,52.65
28,4.33
29,177.31
30,3.15
31,216.4
32,493.06
33,3.87
34,4.59
35,20.88
36,148.76
37,91.35
38,29.47
39,4.140000000000001
40,14.12
41,4.41
42,39.23
43,13.15
44,28.37
45,8.29
46,2.99
47,217.57
48,5.05
49,49.59
50,30.33
51,20.15
52,36.54
53,10.28
54,20.99
55,2.26
56,17.81
57,10.0
58,44.15
59,54.26
60,8.83
61,9.63
62,38.23
63,21.24
64,7.2
65,1.24
66,93001.06
67,4.59
68,45.25
69,31.38
70,20.41
71,6.67
72,75.26
73,83.89
74,1.38
75,4.74
76,1.42
77,49.81
78,1.62
79,23.83
80,4.93
81,1371.5
82,36.7
83,9.56
84,59.12
85,24.31
86,1.02
87,3.89
88,3.34
89,42.51
90,16.03
91,4.09
92,13.6
93,7.92
94,18.59
95,5.14
96,12.34
97,78.69
98,15.23
99,76.2
100,9.83
101,47.71
102,22.92
103,17.73
104,2.4299999999999997
105,33.54
106,36.16
107,234.48
108,69.3
109,20.58
110,4.35
111,39.3
112,105.07
113,17.99
114,1.5
115,376.65
116,3.96
117,5.84
118,17.89
119,6.19
120,110.33
121,487.49
122,310.38
123,1.06
124,20.54
125,5.78
126,15.62
127,2.4299999999999997
128,4.109999999999999
129,4.83
130,3178.03
131,5.24
132,111.99
133,11.67
134,66.85
135,12.32
136,9.61
