COD,HA
1,15.97
2,8.84
3,308.51
4,26.38
5,1.95
6,12.63
7,154.79
8,21.23
9,19.89
10,39.79
11,6.44
12,32.92
13,4.609999999999999
14,8.73
15,2.54
16,243.18
17,5.87
18,6.62
19,45.39
20,25.5
21,48.67
22,25.49
23,6.7
24,22.54
25,5.92
26,36.63
27,5.21
28,4.65
29,6.57
30,602.77
31,40.27
32,8.2
33,6.58
34,22.24
35,12.72
36,9.98
37,20.4
38,310.76
39,6.15
40,4.42
41,38.93
42,16.4
43,5.13
44,4.24
45,5.14
46,7.29
47,9.29
48,13.16
49,9.41
50,4.35
51,245.09
52,4.75
53,8.46
54,8.2
55,14.4
56,18.74
57,7.3
58,3.96
59,8.65
60,8.45
61,12.42
62,18.63
63,1.02
64,13.33
65,2.9699999999999998
66,11.49
67,66.62
68,3.16
69,4.779999999999999
70,1.44
71,11.35
72,1.99
73,13.97
74,3.87
75,6.12
76,15.13
77,2.34
78,6.12
79,4.68
80,9.92
81,46.54
82,6.57
83,9.81
84,2.26
85,1580.63
86,13.39
87,100.05
88,4.42
89,15.01
90,2.3
91,201.71
92,2.98
93,1.99
94,18.09
95,3.43
96,1.29
97,3.33
98,17.01
99,109.35
100,3.33
101,3.79
102,9.9
103,15.02
104,8.55
105,12.25
106,10.53
107,77.07
108,16.03
109,3.62
110,4.42
111,71.39
112,52.65
113,9.1
114,4.33
115,1.21
116,5.14
117,4.96
118,3.15
119,177.1
120,315.69
121,3.87
122,4.59
123,24.81
124,5.68
125,4.96
126,12.79
127,6.93
128,7.83
129,13.13
130,1.54
131,8.71
132,16.2
133,1.9
134,129.26
135,216.4
136,4.68
137,11.9
138,5.94
139,4.51
140,16.64
141,91.35
142,2.98
143,29.47
144,101.73
145,6.55
146,189.53
147,54.0
148,5.5
149,9.9
150,5.67
151,4.33
152,144.05
153,140.11
154,26.44
155,5.04
156,2.35
157,4.140000000000001
158,14.65
159,2.79
160,14.12
161,2.98
162,4.41
163,39.23
164,5.4
165,14.94
166,15.03
167,13.15
168,28.37
169,8.29
170,31.87
171,2.99
172,4.33
173,6.39
174,84.74
175,5.05
176,19.91
177,30.33
178,6.03
179,15.12
180,5.51
181,77.11
182,33.74
183,10.28
184,24.01
185,20.99
186,6.85
187,2.26
188,30.58
189,17.81
190,10.0
191,36.94
192,32.03
193,19.9
194,21.52
195,3.25
196,17.48
197,7.47
198,10.44
199,15.0
200,31.48
201,115.3
202,6.58
203,4.779999999999999
204,9.63
205,38.23
206,14.13
207,8.77
208,4.5
209,25.62
210,23.01
211,8.01
212,3.47
213,7.2
214,19.53
215,13.31
216,1.24
217,17.47
218,8.11
219,69.64
220,34.97
221,5.85
222,4.59
223,44.61
224,3.24
225,31.38
226,20.41
227,142.84
228,11.79
229,38.2
230,6.67
231,17.45
232,4.779999999999999
233,15.02
234,41.66
235,2.71
236,9.27
237,87538.2
238,80.85
239,1.38
240,12.76
241,40.76
242,4.74
243,649.47
244,127.97
245,5.41
246,1.6400000000000001
247,7.29
248,1.42
249,8.64
250,3.25
251,29.15
252,12.21
253,34.6
254,1.62
255,53.03
256,2.88
257,11.58
258,13.25
259,10.26
260,4.15
261,4.93
262,15.84
263,8.01
264,19.24
265,10.1
266,49.9
267,164.68
268,9.56
269,5.76
270,39.74
271,59.12
272,24.31
273,4.24
274,32.39
275,4.04
276,143.7
277,90.98
278,111.34
279,7.21
280,13.77
281,1.02
282,3.89
283,3.34
284,23.38
285,120.15
286,42.51
287,17.35
288,6.14
289,16.29
290,5.07
291,571.47
292,4.09
293,13.6
294,10.89
295,7.92
296,18.59
297,13.31
298,1112.3
299,5.14
300,12.95
301,12.34
302,2.17
303,33.71
304,38.69
305,15.23
306,79.56
307,26.26
308,9.83
309,31.69
310,17.73
311,22.92
312,2.4299999999999997
313,14.58
314,4.779999999999999
315,4.8100000000000005
316,22.28
317,29.73
318,10.81
319,36.16
320,8.29
321,126.84
322,27.45
323,8.370000000000001
324,12.97
325,31.22
326,16.68
327,3.79
328,34.17
329,20.58
330,75.3
331,1.54
332,36.61
333,22.85
334,18.45
335,4.35
336,25.7
337,47.45
338,33.34
339,81.27
340,17.99
341,11.78
342,47.14
343,27.89
344,1.5
345,3.89
346,9.81
347,8.1
348,8.559999999999999
349,24.8
350,17.05
351,19.42
352,4.5
353,84.9
354,17.28
355,3.96
356,5.84
357,7.48
358,8.280000000000001
359,3.24
360,6.84
361,6.96
362,3.6
363,38.56
364,233.88
365,57.84
366,28.31
367,9.05
368,4.24
369,16.73
370,17.89
371,137.37
372,199.62
373,6.19
374,53.49
375,11.26
376,87.31
377,65.28
378,57.85
379,29.86
380,7.56
381,9.39
382,2.8
383,5.4
384,7.66
385,42.97
386,4.45
387,1.8900000000000001
388,6.3
389,11.86
390,8.379999999999999
391,7.92
392,151.86
393,3.85
394,37.67
395,1.06
396,2.98
397,1.02
398,20.54
399,5.78
400,1.27
401,15.62
402,2.4299999999999997
403,4.109999999999999
404,4.83
405,2807.23
406,5.24
407,56.14
408,55.84
409,1.8
410,5.45
411,12.32
412,8.65
413,1.21
414,44.85
415,9.74
416,5.74
417,23.0
418,5.64
419,9.61
420,2.48
