COD,HA
1,8.84
2,154.79
3,39.79
4,4.609999999999999
5,78.87
6,6.15
7,17.7
8,4.35
9,4.75
10,12.48
11,27.52
12,1653.17
13,119.63
14,2.59
15,9.9
16,12.25
17,16.03
18,3.62
19,52.65
20,24.21
21,177.31
22,219.99
23,493.06
24,3.87
25,148.76
26,91.35
27,29.47
28,6.4
29,39.23
30,42.48
31,28.37
32,8.29
33,5.05
34,65.85
35,20.15
36,36.54
37,30.27
38,2.26
39,10.0
40,44.15
41,54.26
42,8.83
43,9.63
44,68.61
45,7.2
46,1.24
47,4.59
48,45.25
49,20.41
50,89.56
51,75.26
52,1.38
53,4.74
54,1.42
55,49.81
56,1.62
57,23.83
58,4.93
59,36.7
60,9.56
61,59.12
62,24.31
63,1.02
64,3.89
65,42.51
66,20.17
67,13.6
68,18.59
69,13.77
70,15.23
71,50.8
72,22.92
73,17.73
74,36.16
75,69.3
76,20.58
77,108.03
78,17.99
79,1.5
80,5.84
81,17.89
82,6.19
83,110.33
84,1.06
85,5.78
86,15.62
87,2.4299999999999997
88,4.109999999999999
89,4.83
90,25.17
91,111.99
92,11.67
93,100649.95
