COD,HA
1,11.16
2,5.81
3,64.47
4,1.72
5,8.120000000000001
6,26.38
7,1.95
8,6.15
9,7.48
10,21.23
11,19.89
12,245.04
13,26.29
14,3.23
15,6.02
16,13.06
17,129.5
18,18.41
19,217.5
20,21.53
21,6.44
22,28.67
23,4.609999999999999
24,8.73
25,5.25
26,2.59
27,3.19
28,16.6
29,43.22
30,2.54
31,1.8399999999999999
32,3.13
33,3.66
34,25.03
35,5.87
36,2.75
37,4.65
38,6.62
39,6.91
40,4.6
41,26.86
42,218.31
43,24.22
44,19.05
45,25.5
46,6.4
47,22.17
48,30.62
49,4.95
50,6.7
51,21.54
52,11.28
53,16.29
54,9.12
55,14.42
56,5.92
57,5.21
58,17.55
59,36.63
60,3.61
61,4.65
62,6.57
63,22.17
64,8.74
65,9.71
66,602.77
67,40.27
68,8.2
69,6.2
70,4.23
71,8.440000000000001
72,6.58
73,22.24
74,3.61
75,5.05
76,8.809999999999999
77,1.63
78,2836.73
79,30.14
80,12.72
81,9.98
82,9.62
83,12.84
84,269.57
85,11.78
86,50.74
87,30.07
88,15.82
89,6.15
90,39.89
91,4.42
92,4.7
93,6.85
94,5.04
95,1.72
96,2.1799999999999997
97,24.82
98,7.57
99,3.3
100,17.66
101,5.77
102,6.61
103,18.22
104,13.02
105,16.4
106,4.42
107,8.190000000000001
108,5.13
109,38.33
110,35.81
111,21.71
112,4.15
113,66.61
114,6.84
115,4.24
116,2.71
117,2.8899999999999997
118,5.14
119,22.74
120,4.779999999999999
121,4.42
122,3.17
123,13.69
124,2.8
125,6.3
126,4.77
127,7.29
128,63.71
129,280.14
130,3.42
131,9.29
132,82.09
133,6.4
134,2.88
135,7.76
136,12.69
137,9.41
138,13.79
139,4.35
140,13.51
141,25.85
142,10.81
143,4.75
144,13.16
145,8.46
146,2.17
147,155.43
148,9.36
149,29.96
150,4.51
151,3.15
152,19.89
153,10.45
154,22.61
155,6.32
156,5.41
157,3.43
158,8.379999999999999
159,21.53
160,35.76
161,9.89
162,14.4
163,4.6899999999999995
164,4.59
165,4.43
166,8.91
167,7.3
168,5.36
169,3.96
170,8.65
171,4.6
172,5.13
173,8.85
174,5.14
175,8.45
176,2.44
177,12.98
178,16.67
179,10.98
180,4.42
181,8.46
182,4.32
183,16.740000000000002
184,1.02
185,13.33
186,2.9699999999999998
187,6.3
188,5.24
189,8.17
190,60.78
191,237.14
192,1.72
193,6.76
194,26.01
195,2.71
196,2.17
197,29.22
198,3.16
199,4.779999999999999
200,12.94
201,1.44
202,11.35
203,1.99
204,13.97
205,3.87
206,6.12
207,6.84
208,108.4
209,10.52
210,2.34
211,4.59
212,4.68
213,2.5300000000000002
214,9.92
215,41.32
216,6.57
217,35.82
218,4.24
219,2.26
220,5.61
221,61.16
222,3.16
223,11.55
224,2.98
225,5.76
226,15.28
227,4.59
228,100.05
229,3.8
230,27.03
231,13.39
232,4.32
233,13.23
234,4.42
235,6.22
236,3.15
237,10.8
238,36.61
239,15.01
240,2.3
241,2.98
242,13.87
243,1.99
244,7.38
245,28.08
246,5.22
247,2.71
248,1.29
249,3.33
250,3.43
251,3.7
252,32.75
253,1.72
254,18.28
255,1580.63
256,15.93
257,7.66
258,6.93
259,365.93
260,14.31
261,19.44
262,6.01
263,6.04
264,5.04
265,2.7199999999999998
266,59.85
267,74.51
268,7.02
269,263.6
270,3.33
271,7.76
272,13.39
273,19.45
274,33.54
275,16.990000000000002
276,46.61
277,2.62
278,35.84
279,41.87
280,6.3
281,2.09
282,1431.46
283,3.79
284,1.54
285,9.9
286,7.02
287,52.87
288,8.55
289,3.7
290,75.09
291,12.25
292,6.03
293,5.67
294,10.53
295,3.97
296,3.35
297,39.97
298,16.03
299,14.48
300,4.87
301,20.33
302,3.15
303,24.99
304,3.62
305,97.55
306,4.42
307,19.33
308,37.25
309,10.25
310,2.71
311,62.09
312,2.62
313,7.84
314,5.67
315,19.09
316,4.51
317,7.83
318,52.65
319,4.42
320,3.7
321,10.35
322,5.94
323,8.57
324,16.65
325,9.1
326,2.44
327,23.28
328,2.8899999999999997
329,6.67
330,14.22
331,58.0
332,4.33
333,11.06
334,11.61
335,1.21
336,5.14
337,4.96
338,3.51
339,9.91
340,9.91
341,155.07
342,2.25
343,3.15
344,5.32
345,4866.12
346,29.73
347,44.22
348,146.24
349,3.87
350,6.31
351,4.59
352,5.68
353,8.27
354,4.96
355,14.76
356,24.81
357,12.79
358,6.93
359,7.83
360,83.92
361,13.13
362,1.54
363,2.8
364,7.19
365,2.98
366,3.16
367,14.31
368,9.71
369,4.859999999999999
370,16.189999999999998
371,7.48
372,1.9
373,2.52
374,4.6899999999999995
375,10.36
376,7.83
377,5.15
378,644.83
379,1251.48
380,15.74
381,187.67
382,2.8899999999999997
383,205.51
384,4.68
385,11.9
386,44.99
387,19.63
388,8.190000000000001
389,3.96
390,7.12
391,7.21
392,2.98
393,36.45
394,6.67
395,4.51
396,16.64
397,51.74
398,2.98
399,8.82
400,5.76
401,9.17
402,56880.07
403,8.190000000000001
404,26.68
405,76.09
406,7.47
407,71.93
408,91.35
409,7.29
410,331.34
411,6.55
412,4.23
413,7.64
414,44.77
415,7.65
416,63.78
417,142.53
418,10.35
419,13.12
420,16.619999999999997
421,5.85
422,18.43
423,5.5
424,26.64
425,3.79
426,9.9
427,8.83
428,1.99
429,5.67
430,4.33
431,67.27
432,140.11
433,42.78
434,8.370000000000001
435,1.99
436,13.86
437,4.95
438,18.88
439,4.07
440,5.04
441,2.35
442,6.49
443,4.140000000000001
444,9.18
445,14.65
446,8.99
447,2.7
448,2.79
449,14.12
450,33.87
451,2.98
452,5.5
453,2.08
454,4.41
455,200.06
456,17.26
457,56.72
458,16.560000000000002
459,4.77
460,164.15
461,23.47
462,23.41
463,5.4
464,14.94
465,25.89
466,12.32
467,15.03
468,8.559999999999999
469,13.15
470,8.29
471,2.71
472,3.79
473,21.52
474,3.07
475,2.99
476,4.33
477,1.81
478,31.87
479,5.58
480,134.07
481,5.05
482,4.24
483,30.33
484,7.85
485,526.0
486,15.22
487,79.88
488,2.45
489,6.03
490,5.21
491,16.82
492,1.81
493,9.73
494,1.54
495,229.24
496,5.51
497,39.74
498,71.72
499,33.74
500,10.28
501,6.39
502,14.48
503,6.39
504,20.99
505,31.11
506,5.58
507,6.85
508,2.26
509,14.13
510,22.4
511,10.53
512,8.11
513,11.53
514,10.54
515,5.86
516,12.33
517,5.84
518,20.7
519,36.94
520,4.25
521,21.52
522,24.41
523,5.76
524,1.97
525,16.65
526,3.25
527,12.44
528,2.8899999999999997
529,43.79
530,6.04
531,5.22
532,4.05
533,7.47
534,15.0
535,4.779999999999999
536,4.42
537,18.44
538,1.04
539,6.66
540,4.42
541,91.64
542,4.0600000000000005
543,4.779999999999999
544,9.63
545,9.18
546,15.55
547,3.52
548,4.0600000000000005
549,470.58
550,14.04
551,8.77
552,6.93
553,4.5
554,9.35
555,15.01
556,6.49
557,2.9699999999999998
558,14.13
559,95.02
560,6.04
561,38.23
562,3.47
563,2.98
564,39.19
565,15.29
566,6.57
567,13.31
568,5.24
569,15.29
570,1.24
571,17.47
572,10.79
573,9.0
574,63.85
575,7.2
576,84.58
577,8.11
578,62.64
579,21.68
580,54.36
581,9.45
582,11.88
583,5.85
584,2.98
585,4.59
586,31.41
587,3.24
588,7.21
589,3.16
590,20.41
591,98.08
592,4.49
593,11.79
594,33.07
595,6.67
596,3.25
597,7.43
598,42.09
599,4.779999999999999
600,14.2
601,26.42
602,15.02
603,24.09
604,41.66
605,2.71
606,32.010000000000005
607,1.9
608,15.2
609,9.56
610,6.13
611,42.78
612,1.38
613,276.54
614,11.14
615,4.74
616,6.35
617,4.859999999999999
618,8.370000000000001
619,2.62
620,40.76
621,44.22
622,5.41
623,1.6400000000000001
624,7.29
625,1.42
626,8.64
627,15.19
628,4.59
629,30.74
630,3.25
