COD,HA
1,41.35
2,8.84
3,308.51
4,154.79
5,21.23
6,19.89
7,39.79
8,6.44
9,4.609999999999999
10,8.73
11,5.87
12,6.62
13,45.39
14,54.37
15,25.5
16,267.67
17,22.54
18,5.92
19,5.21
20,4.65
21,654.81
22,6.58
23,33.96
24,9.98
25,20.4
26,310.76
27,6.15
28,4.42
29,20.54
30,5.13
31,7.29
32,9.29
33,245.09
34,13.16
35,9.41
36,4.35
37,4.75
38,8.2
39,26.73
40,18.74
41,3.96
42,8.65
43,8.45
44,12.42
45,12.48
46,18.63
47,1.02
48,5.13
49,4.779999999999999
50,1.44
51,11.35
52,3.87
53,68.75
54,27.52
55,2.34
56,6.12
57,13.6
58,6.57
59,11.79
60,2.26
61,1580.63
62,100.05
63,15.01
64,2.3
65,207.56
66,1.29
67,3.33
68,17.01
69,109.35
70,3.33
71,3.79
72,9.9
73,8.55
74,12.25
75,77.07
76,16.03
77,3.62
78,4.42
79,71.39
80,52.65
81,4.33
82,1.21
83,3.15
84,216.4
85,177.1
86,480.18
87,3.87
88,4.59
89,5.68
90,4.96
91,12.79
92,8.71
93,16.2
94,129.26
95,4.68
96,11.9
97,9.45
98,91.35
99,2.98
100,189.53
101,29.47
102,4.33
103,144.05
104,26.44
105,4.140000000000001
106,14.65
107,14.12
108,4.41
109,39.23
110,15.03
111,13.15
112,28.37
113,8.29
114,2.99
115,6.39
116,199.04
117,5.05
118,23.24
119,30.33
120,20.15
121,5.51
122,77.11
123,33.74
124,10.28
125,24.01
126,20.99
127,6.85
128,2.26
129,30.58
130,17.81
131,10.0
132,36.94
133,32.03
134,21.52
135,8.83
136,44.15
137,7.47
138,10.44
139,15.0
140,53.49
141,35.14
142,9.63
143,38.23
144,88090.96
145,21.24
146,69.64
147,7.2
148,19.53
149,1.24
150,17.47
151,34.97
152,5.85
153,4.59
154,44.61
155,31.38
156,20.41
157,11.79
158,38.2
159,6.67
160,25.72
161,4.779999999999999
162,15.02
163,41.66
164,2.71
165,83.89
166,1.38
167,12.76
168,40.76
169,4.74
170,1291.31
171,168.96
172,5.41
173,1.6400000000000001
174,1.42
175,12.21
176,34.6
177,1.62
178,2.88
179,23.83
180,10.26
181,4.93
182,74.16
183,8.01
184,10.1
185,9.56
186,5.76
187,59.12
188,24.31
189,32.39
190,126.77
191,111.34
192,7.21
193,13.77
194,1.02
195,3.89
196,3.34
197,23.38
198,120.15
199,42.51
200,17.35
201,6.14
202,321.81
203,5.07
204,4.09
205,13.6
206,10.89
207,7.92
208,18.59
209,1259.41
210,5.14
211,12.95
212,12.34
213,33.71
214,38.69
215,15.23
216,79.56
217,59.85
218,9.83
219,31.69
220,22.92
221,17.73
222,2.4299999999999997
223,36.36
224,4.779999999999999
225,33.54
226,36.16
227,8.29
228,126.84
229,27.45
230,116.1
231,38.59
232,16.68
233,3.79
234,20.58
235,75.3
236,1.54
237,36.61
238,22.85
239,18.45
240,4.35
241,39.3
242,105.07
243,17.99
244,47.14
245,27.89
246,1.5
247,9.81
248,8.1
249,11.45
250,17.05
251,19.42
252,4.5
253,84.9
254,17.28
255,3.96
256,5.84
257,7.48
258,10.88
259,3.24
260,6.84
261,55.38
262,57.84
263,199.62
264,28.31
265,9.05
266,151.47
267,249.61
268,17.89
269,6.19
270,53.49
271,67.08
272,57.85
273,29.86
274,9.39
275,91.71
276,7.66
277,42.97
278,6.3
279,151.86
280,49.39
281,1.06
282,1.02
283,20.54
284,5.78
285,1.27
286,15.62
287,2.4299999999999997
288,4.109999999999999
289,4.83
290,2826.63
291,5.24
292,110.98
293,5.45
294,66.85
295,12.32
296,2.01
297,9.74
298,5.74
299,5.64
300,9.61
301,2.48
